2022-08-09
	[속보] "서울 폭우로 1명 사망…가로수 정리중 감전 추정" |  | https://www.joongang.co.kr/article/25092910
	역대급 폭우에 침수차 고객 돕는 車 업계…수리비 할인·무상 점검까지 | 경제>자동차,경제>서비스_쇼핑,경제>금융_재테크 | http://www.sedaily.com/NewsView/269QRY2PI0
	車 업계, 수해 피해 복구서비스 총력전…무상점검에 수리 할인까지 | 경제>자동차,경제>서비스_쇼핑,경제>금융_재테크 | https://www.ajunews.com/view/20220810214342366

	야놀자, 지역사회 및 제휴점 폭우 피해 지원 | 경제>경제일반 | http://www.etnews.com/20220810000018

	[르포] 9시간 흙탕물 퍼내도 “끝이 없다”…상인들 망연자실[폭우가 할퀸 상처] | 지역>대전,지역>경남,지역>대구 | http://biz.heraldcorp.com/view.php?ud=20220810000146

	침수 보상 ‘풍수해’ 정책보험, 서울 가입률 0.1%…신림동 참사 가족도 못들어 | 경제>금융_재테크,사회>장애인,사회>노동_복지 | http://biz.heraldcorp.com/view.php?ud=20220810000174
	침수피해 눈덩이인데...‘풍수해’ 정책보험, 서울 가입률 0.1%불과 | 경제>금융_재테크,사회>노동_복지,사회>장애인 | http://biz.heraldcorp.com/view.php?ud=20220810000349

	"무심코 버렸는데…" 강남 한복판 침수 피해 키운 이것 | 사회>사회일반 | https://www.hankyung.com/society/article/2022081023747

	"폭우 피해 돕자"…수해지역 구호물품 지원 나선 유통가 |  | https://www.hankyung.com/life/article/202208102266g
	기록적 폭우에…유통가 ‘구호 손길’ 줄이어 |  | http://www.munhwa.com/news/view.html?no=2022081001039907205001
	유통가, 폭우 피해 지역에 구호품 전달 '릴레이' | 경제>금융_재테크,경제>취업_창업 | http://www.etnews.com/20220810000100

	수해현장으로 총출동하는 野지도부… "집중호우 지역 '특별재난 지역' 선포하라" | 정치>청와대,정치>국회_정당 | https://view.asiae.co.kr/article/2022081010495610090

	탁현민, 尹 자택서 전화 지시에 “그러면 위기대응 상황실 있을 필요 뭐있나” | 정치>청와대 | http://www.segye.com/content/html/2022/08/10/20220810507765.html

	현대중공업그룹1%나눔재단, 수해 복구 돕기 성금 5억원 기탁 | 지역>대구,지역>강원,지역>경남 | http://www.fnnews.com/news/202208101055026983
	현대重그룹, '집중호우' 수도권 수해복구 성금 5억원 기탁 | 지역>대구,지역>경남,지역>강원 | http://news.moneytoday.co.kr/view/mtview.php?no=2022081010560147242&type=2
	현대중공업그룹, 수해 복구 성금 5억 기탁 | 지역>대구,지역>경남,지역>강원 | http://www.etnews.com/20220810000134
	현대중공업그룹1%나눔재단, 수해 복구에 5억원 기탁 | 지역>대구,지역>경남,지역>강원 | http://www.sedaily.com/NewsView/269QT6XUK2
	임시완, 희망브리지에 수해 성금 2천만원 기부 | 지역>경남,지역>대구,지역>강원 | http://www.fnnews.com/news/202208101426044532
	산림청, 집중호우 피해 극복에 산림헬기 힘 보탠다 | 지역>경남,지역>강원,지역>충남 | http://www.sedaily.com/NewsView/269QSDQXRD
	집중호우 피해 극복에 '산림 헬기 뜬다' | 지역>경남,지역>강원,지역>충남 | http://www.fnnews.com/news/202208101455227170
	산림청, 집중호우 피해복구에 산림헬기 지원 | 지역>경남,지역>강원,지역>충남 | http://www.fnnews.com/news/202208101508475499
	산림청 “호우 피해 회복에 산림헬기 적극 투입할 것” | 지역>경남,지역>강원,지역>충남 | https://news.kmib.co.kr/article/view.asp?arcid=0017361146&code=61121111&cp=kd
	'유미의 세포들' 박진영, 집중호우 이재민 수해 복구에 3천만원 쾌척 | 지역>경남,지역>대구,지역>강원 | https://star.ytn.co.kr/_sn/0117_202208101647321201
	배우 박진영, 집중호우로 인한 이재민 수해 복구 성금 3천만원 기탁 | 지역>경남,지역>대구,지역>강원 | http://biz.heraldcorp.com/view.php?ud=20220810000823
	현대중공업 임직원, 수도권 수해 복구 위해 5억원 | 지역>대구,지역>강원,지역>경남 | http://www.fnnews.com/news/202208101818241175
	배우 박진영, 수해 피해 지역의 복구 위해 3000만원 기부 | 문화>전시_공연 | https://news.kmib.co.kr/article/view.asp?arcid=0017361444&code=61171111&cp=kd
	김혜수, 수재민 돕기에 1억 쾌척…박진영·임시완·홍수현·유병재·김진우도 기부 동참 | 지역>경남,지역>충남,지역>대구 | http://www.segye.com/content/html/2022/07/20/20220720522183.html

	수방사 등 육군 장병 1300여 명, 11년만에 서울 수해복구 팔 걷어붙여 | 사회>사회일반 | http://www.munhwa.com/news/view.html?no=2022081001039930114003

	서울·경기·강원서 인명 피해 16명 발생… 충청권 중심 많은 비 예보 | 사회>날씨 | http://www.segye.com/content/html/2022/08/10/20220810508404.html

	질병청 "수해지역 감염병 유행 우려...위생 주의" | 사회>의료_건강,사회>여성 | https://www.ytn.co.kr/_ln/0103_202208101134273515
	[중부 집중호우] 질병청 "수해지역 감염병 유행 우려…위생 주의" | 사회>의료_건강,사회>여성 | http://www.segye.com/content/html/2022/08/10/20220810510422.html

	尹, 수해에 국가책임 통감… 도심하천 범람 등 근본대책 지시 | 정치>청와대,사회>사회일반 | http://www.munhwa.com/news/view.html?no=2022081001070421306001
	尹, 집중호우 피해에 “희생자 명복 빌며 정부 대표해 국민께 죄송” | 정치>청와대 | http://www.segye.com/content/html/2022/08/10/20220810510003.html

	집중호우로 9명 사망·7명 실종…당정 긴급 협의회 |  | http://www.obsnews.co.kr/news/articleView.html?idxno=1362502

	이동환 고양시장 “상습침수구간 배수용량 확대” | 지역>경남,지역>경기,지역>강원 | http://www.fnnews.com/news/202208101154120750
	성사천 범람할 뻔…고양시, 상습침수구간 배수용량 확대 | 사회>사회일반 | http://www.hani.co.kr/arti/area/capital/1054205.html

	與, 수해대책 당정협의...민주, 이재민 대피소 방문 | 정치>국회_정당,정치>청와대,정치>선거 | https://www.ytn.co.kr/_ln/0101_202208101417543474
	당정 "특별재난지역 검토"...野, 수해 지역 점검 | 정치>국회_정당,정치>선거,정치>청와대 | https://www.ytn.co.kr/_ln/0101_202208101612012123
	與, 수해대책 당정협의...민주, 尹 대응 연일 비판 | 정치>국회_정당 | https://www.ytn.co.kr/_ln/0101_202208101201251106

	尹 "국민께 정부 대표해 죄송"...이틀 연속 수해 현장 방문 | 정치>청와대,정치>국회_정당 | https://www.ytn.co.kr/_ln/0101_202208102220064788
	"국민 안전 무한책임"‥폭우 초기 대응 공방 | 정치>청와대,정치>국회_정당 | https://imnews.imbc.com/replay/2022/nw1200/article/6396900_35715.html
	'전화 지시' 논란에 연이틀 현장간 尹 "죄송한 마음" 사과 | 정치>청와대 | http://www.sedaily.com/NewsView/269QTIDLIM
	尹, 이틀째 수해 현장 찾아…"국민 안전은 국가 책임, 믿어달라" | 정치>청와대 | http://news.moneytoday.co.kr/view/mtview.php?no=2022081016441311486&type=2
	이틀째 수재 현장 찾은 尹 “국민 안전은 국가 책임. 정부 믿어달라” | 정치>청와대 | http://www.segye.com/content/html/2022/08/10/20220810521579.html
	윤 대통령, 호우 피해 사과…"국가 무한책임" | 정치>청와대 | http://www.obsnews.co.kr/news/articleView.html?idxno=1362570
	윤 대통령, 취임 뒤 첫 사과‥대통령실·여당 "정쟁화" | 정치>청와대,정치>국회_정당 | https://imnews.imbc.com/replay/2022/nwdesk/article/6397074_35744.html
	"자택이 위기관리센터냐?"‥민주, 대통령 폭우 대응에 연이틀 맹공 | 정치>청와대,정치>국회_정당 | https://imnews.imbc.com/replay/2022/nwdesk/article/6397075_35744.html
	尹 "국민께 정부 대표해 죄송"...이틀 연속 수해 현장 방문 | 정치>청와대,정치>국회_정당 | https://www.ytn.co.kr/_ln/0101_202208102106403822

	서울시, 수해 피해 복구 300억원 특별교부금 지원 |  | http://biz.heraldcorp.com/view.php?ud=20220810000605
	서울시, 자치구에 ‘집중호우 피해 복구’ 300억 긴급 지원 |  | http://www.munhwa.com/news/view.html?no=2022081001039910021009

